experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: direct
  prompt structure: interleaved_test_first

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
159 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
160 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
161 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
162 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
163 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
164 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
165 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
166 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
167 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
168 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
169 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
170 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
171 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
172 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
173 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
174 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
175 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
176 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
177 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
178 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
179 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
180 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
181 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
182 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
183 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
184 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
185 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
186 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
187 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
188 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
189 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
190 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
191 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
192 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
193 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
194 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
195 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
196 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
197 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
198 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
199 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
---------------------------------------
Summary for Split 'test_seen_obj_seen_act':
 results: {'correct': {'cat_1': 99, 'cat_2': 3}, 'incorrect': {'cat_1': 1, 'cat_2': 97}}
 accuracy: 51.00%

---------------------------------------
  test split name: test_seen_obj_unseen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
1 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
2 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
3 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
4 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
5 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
6 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
7 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
8 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
9 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
10 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
11 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
12 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
13 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
14 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
15 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
16 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
17 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
18 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
19 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
20 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
21 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
22 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
23 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
24 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
25 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
26 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
27 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
28 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
29 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
30 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
31 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
32 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
33 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
34 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
35 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
36 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
37 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
38 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
39 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
40 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
41 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
42 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
43 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
44 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
45 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
46 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
47 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
48 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
49 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
50 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
51 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
52 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
53 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
54 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
55 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
56 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
57 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
58 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
59 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
60 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
61 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
62 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
63 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
64 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
65 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
66 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
67 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
68 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
69 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
70 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
71 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
72 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
73 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
74 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
75 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
76 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
77 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
78 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
79 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
80 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
81 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
82 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
83 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
84 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
85 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
86 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
87 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
88 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
89 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
90 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
91 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
92 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
93 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
94 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
95 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
96 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
97 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
98 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
99 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
100 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
101 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
102 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
103 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
104 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
105 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
106 | expected:'cat_2' | got='cat_2' | full: [' cat_2']
107 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
108 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
109 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
110 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
111 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
112 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
113 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
114 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
115 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
116 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
117 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
118 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
119 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
120 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
121 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
122 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
123 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
124 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
125 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
126 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
127 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
128 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
129 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
130 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
131 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
132 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
133 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
134 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
135 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
136 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
137 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
138 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
139 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
140 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
141 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
142 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
143 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
144 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
145 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
146 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
147 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
148 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
149 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
150 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
151 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
152 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
153 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
154 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
155 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
156 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
157 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
158 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
159 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
160 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
161 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
162 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
163 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
164 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
165 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
166 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
167 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
168 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
169 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
170 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
171 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
172 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
173 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
174 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
175 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
176 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
177 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
178 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
179 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
180 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
181 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
182 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
183 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
184 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
185 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
186 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
187 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
188 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
189 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
190 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
191 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
192 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
193 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
194 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
195 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
196 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
197 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
198 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
199 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
---------------------------------------
Summary for Split 'test_seen_obj_unseen_act':
 results: {'correct': {'cat_1': 100, 'cat_2': 1}, 'incorrect': {'cat_1': 0, 'cat_2': 99}}
 accuracy: 50.50%

---------------------------------------
  test split name: test_unseen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
1 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
2 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
3 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
4 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
5 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
6 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
7 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
8 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
9 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
10 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
11 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
12 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
13 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
14 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
15 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
16 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
17 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
18 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
19 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
20 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
21 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
22 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
23 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
24 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
25 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
26 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
27 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
28 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
29 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
30 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
31 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
32 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
33 | expected:'cat_1' | got='cat_1' | full: [' cat_1']
34 | expected:'cat_2' | got='cat_1' | full: [' cat_1']
